year,country,ccode,ele_rural,ele_total,ele_urban,en_int,ren_ele,ren_con,tot_ele,tfec
1990,Afghanistan,AFG,,0.01,52.03697586,1.884112773,764,6312.392,1128,39639.42002
1990,Albania,ALB,100,100,100,7.912243196,2848,20429.18,3296,80057.64499
1990,Algeria,DZA,96.39231475,98.27137756,100,3.500934776,135,811.7773,16104,458040.4417
1990,American Samoa,ASM,,,,,0,0,100,306
1990,Andorra,AND,100,100,100,,120,952.145,120,6670.695
1990,Angola,AGO,7.518615066,11.39780807,22.68237495,4.605299718,725,135443.7,841,187451.7027
1990,Anguilla,AIA,,89.1986618,89.1986618,,0,1.827,16.7,615.397
1990,Antigua and Barbuda,ATG,76.96147746,85.12319946,100,3.953882216,0,0,95,2551.9
1990,Argentina,ARG,90.64082336,90.64082336,90.64082336,5.439096615,17983,105714.2,50740,1184750.603
1990,Armenia,ARM,95.78970448,97.68037415,98.59397888,24.37219694,1555,5502.305,10362,259671.993
1990,Aruba,ABW,76.75690793,88.44535065,99.9854126,,0,8.26657,338,3075.96657
1990,Australia,AUS,100,100,100,7.416865313,14898,176729.7,154287,2206479.774
1990,Austria,AUT,100,100,100,4.360147231,32635,191963.7,49296,763707.7403
1990,Azerbaijan,AZE,92.47360267,95.87023163,98.79302979,15.56773215,1658,4783.298,23152,662449.1031
1990,"Bahamas, The",BHS,82.02916466,90.79119873,93.00390625,4.3429759,0,0,950,15588.9
1990,Bahrain,BHR,,,,12.48408539,0,0,7989,43713.16463
1990,Bangladesh,BGD,,8.544374466,65.98397827,3.899469758,884,285257.2,7732,398042.7185
1990,Barbados,BRB,,,,4.645774512,0,1805.187,468,9529.98721
1990,Belarus,BLR,100,100,100,23.12784454,20,8598.692,39526,1052010.83
1990,Belgium,BEL,100,100,100,6.621931887,555,15414.34,70292,1214242.422
1990,Belize,BLZ,78.70014522,87.96473694,98.21883392,8.555063667,0,2335.027,108,6142.9274
1990,Benin,BEN,,7.311272144,30.23664093,9.551849739,0,56338.84,21,60124.75074
1990,Bermuda,BMU,,100,100,2.937574222,0,0,490,5382
1990,BES Islands,BES,,,,,,,0,
1990,Bhutan,BTN,,0.01,93.30582428,30.01532148,1557,35634.84,1564,37158.77635
1990,Bolivia,BOL,10.39366744,56.38216782,93.14102173,4.300148891,1212,33547.38,2311,89797.3141
1990,Bosnia and Herzegovina,BIH,96.16500506,96.88565063,98.001091,47.10593136,3058,14482.96,14632,198394.0301
1990,Botswana,BWA,0.242938939,6.043880463,14.07676888,4.564233989,0,17634.59,906,37059.41833
1990,Brazil,BRA,55.415374,87.475116,97.538681,3.809575122,210567,2126762,222821,4265067.411
1990,British Virgin Islands,VGB,,,,,0,8.2215,45,565.8215
1990,Brunei Darussalam,BRN,100,100,100,3.651003116,0,93.99366,1172,13992.16
1990,Bulgaria,BGR,100,100,100,14.59986149,1878,12879.4,42141,671904.949
1990,Burkina Faso,BFA,,2.610557318,28.9826622,12.91720727,9,86576.43,184,92934.98569
1990,Burundi,BDI,,0.348627061,54.35656738,9.78518863,108,49513.88,110,52010.0109
1990,Cambodia,KHM,,0.01,34.83300781,14.28105853,0,0,,0
1990,Cameroon,CMR,5.487004556,30.12971687,67.62663269,6.240922519,2656,160882.7,2697,197176.7598
1990,Canada,CAN,100,100,100,10.16972227,300691,1353116,482041,6144730.643
1990,Cape Verde,CPV,,32.55810165,74.31933594,4.0330945,0,592.767,42,1618.077
1990,Caucasian and Central Asia,CCA,,,,,,,,
