movie,year,length,grading,rating
Hit Man,2023,1h 55m,R,7.0 (43K)
Bad Boys: Ride or Die,2024,1h 55m,R,7.0 (19K)
Inside Out 2,2024,1h 36m,PG,8.0 (16K)
Furiosa: A Mad Max Saga,2024,2h 28m,R,7.8 (85K)
Sous la Seine,2024,1h 44m,TV-MA,5.2 (18K)
The Watchers,2024,1h 42m,PG-13,5.8 (6.9K)
The Fall Guy,2024,2h 6m,PG-13,7.0 (101K)
Gojira -1.0,2023,2h 4m,PG-13,7.8 (119K)
Civil War,2024,1h 49m,R,7.2 (114K)
Inside Out,2015,1h 35m,PG,8.1 (795K)
Dune: Part Two,2024,2h 46m,PG-13,8.6 (450K)
Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,7.2 (53K)
The Strangers: Chapter 1,2024,1h 31m,R,4.7 (11K)
Munjya,2024,2h 20m,,7.7 (12K)
Challengers,2024,2h 11m,R,7.3 (69K)
Deadpool & Wolverine,2024,2h 7m,R,
The Bikeriders,2023,1h 56m,R,7.4 (1.7K)
Mad Max: Fury Road,2015,2h,R,8.1 (1.1M)
Anyone But You,2023,1h 43m,R,6.1 (93K)
The First Omen,2024,1h 59m,R,6.5 (35K)
IF,2024,1h 44m,PG,6.7 (14K)
Am I OK?,2022,1h 26m,R,6.1 (4K)
Kinds of Kindness,2024,2h 44m,R,6.9 (2.7K)
The Ministry of Ungentlemanly Warfare,2024,2h,R,6.9 (44K)
Atlas,2024,1h 58m,PG-13,5.6 (41K)
