"movie","weekend_gross","total_gross","weeks_released","rating"
"1. Inside Out 2","$154M","$154M","1","8.0 (16K)"
"2. Bad Boys: Ride or Die","$34M","$113M","2","7.0 (19K)"
"3. Kingdom of the Planet of the Apes","$5.5M","$158M","6","7.2 (53K)"
"4. The Garfield Movie","$4.8M","$78M","4","5.8 (8.4K)"
"5. IF","$3.6M","$101M","5","6.7 (14K)"
"6. The Watchers","$3.5M","$14M","2","5.8 (6.9K)"
"7. Furiosa: A Mad Max Saga","$2.6M","$63M","4","7.8 (85K)"
"8. The Fall Guy","$1.6M","$88M","7","7.0 (101K)"
"9. The Strangers: Chapter 1","$759K","$34M","5","4.7 (11K)"
"10. The Lord of the Rings: The Fellowship of the Ring","$633K","$319M","2","8.9 (2M)"
