product,rating,rating_no,sales,price
"Tecno Spark 20 Pro+ (16*/256 GB) | 6.78"" FHD + AMOLED Curved Screen | 120Hz Refresh Rate | 100 Days Replacement Warranty | G99 Ultra Boost Processor | 108MP Ultra Sensing Main Camera | 5000mAh Battery | 33W Super Charge",4.5/5,(40),127 Sold,"Rs.26,990"
Redmi Note 11 | 90 Hz FHD+ AMOLED Display | 50 MP AI Quad Camera | 4/64 GB - Black,4.5/5,(115),377 Sold,"Rs.23,999"
"Redmi 13C (6/128GB) | 6.74"" Dot Drop display | 90Hz Refresh Rate | 5000mAh Battery | 18W PD charging",4.4/5,(36),156 Sold,"Rs.15,999"
realme C53 (6+128 GB) | 6.74 inch HD+ IPS LCD Display | 108MP Back Camera | 5000mAh Battery with 18W Quick charge,4.1/5,(18),85 Sold,"Rs.16,499"
"Redmi Note 13 Pro (8/256GB) | 6.67"" AMOLED Display | MediaTek Helio G99-Ultra Processor | 5000mAh Battery | 67W Turbo Charging",4.3/5,(19),80 Sold,"Rs.32,999"
realme C51 (4+64 GB) | 5000mAh with 33W SUPERVOOC charge | Back Camera(s): 50MP (Samsung HM6) |  90Hz Refresh Rate |,4.4/5,(8),40 Sold,"Rs.13,499"
realme C55 (6/64GB) | Mediatek Helio G88  Chipset | Mini Capsule Display | 5000mAh 33W Super VOOC Charging,4.8/5,(13),82 Sold,"Rs.15,499"
Apple iPhone 13 128GB - EvoStore,4.7/5,(43),145 Sold,"Rs.95,000"
"Redmi Note 13 (6/128GB) | 6.67"" AMOLED Display | Snapdragon 685 | 5000 mAh Battery | 33W Fast Charge",4.1/5,(24),105 Sold,"Rs.24,999"
Redmi 12 | 6/128 GB | 90Hz 6.79” FHD+ Display | Glass Back Design,4/5,(22),125 Sold,"Rs.17,999"
"X-AGE SNAP Smartphone | 6GB/128GB | 48MP Rear Camera | 6.82"" IPS Display | UNISOC T606 | 5000mAh Battery",3.2/5,(20),79 Sold,"Rs.14,999"
"Samsung Galaxy A04e (3GB/32GB) | 6.5"" HD Display | 13MP Camera | 5000mAh Battery",4.2/5,(24),130 Sold,"Rs.12,499"
Apple iPhone 13 - Oliz Store,4.8/5,(50),180 Sold,"Rs.95,000"
"Samsung Galaxy A15 5G (8GB/128GB) | 6.5"" SuperAMOLED 90Hz Display | 50MP+5MP+2MP Rear Camera | 5000mAh Battery",4.5/5,(8),52 Sold,"Rs.29,499"
"Samsung Galaxy A05 (4GB/64GB) | 6.7"" HD+ Display | Mediatek Helio G85 Processor | 5000mAh Batter",3.7/5,(9),55 Sold,"Rs.14,799"
"Redmi 13C (8/256GB) | 6.74"" 90 Hz Dot Drop Display | MediaTek Helio G85 Processor | 5000mAh Battery",4.6/5,(16),63 Sold,"Rs.18,999"
"Vippo+ V29 (1000 mAh, FM, Vibration) Bar / Feature / Keypad / Button Quality Phone - 1 Year Warranty",4.3/5,(3),,Rs.899
Xiaomi Redmi 13C 4G LTE (4/128GB) | 6.74in Display | MediaTek Helio G85 processor | 5000mAh Battery,4.3/5,(11),49 Sold,"Rs.13,999"
Nokia Mobile Dual Sim 105 Model,,,,"Rs.1,999"
"Samsung Galaxy M01 Core (Ram 2GB, Rom 32GB)",,,,"Rs.9,999"
