movie,year,length,rating
Hit Man,2023,1h 55m,7.0 (43K)
Bad Boys: Ride or Die,2024,1h 55m,7.0 (19K)
Inside Out 2,2024,1h 36m,8.0 (16K)
Furiosa: A Mad Max Saga,2024,2h 28m,7.8 (85K)
Sous la Seine,2024,1h 44m,5.2 (18K)
The Watchers,2024,1h 42m,5.8 (6.9K)
The Fall Guy,2024,2h 6m,7.0 (101K)
Gojira -1.0,2023,2h 4m,7.8 (119K)
Civil War,2024,1h 49m,7.2 (114K)
Inside Out,2015,1h 35m,8.1 (795K)
Dune: Part Two,2024,2h 46m,8.6 (450K)
Kingdom of the Planet of the Apes,2024,2h 25m,7.2 (53K)
The Strangers: Chapter 1,2024,1h 31m,4.7 (11K)
Munjya,2024,2h 20m,7.7 (12K)
Challengers,2024,2h 11m,7.3 (69K)
Deadpool & Wolverine,2024,2h 7m,
The Bikeriders,2023,1h 56m,7.4 (1.7K)
Mad Max: Fury Road,2015,2h,8.1 (1.1M)
Anyone But You,2023,1h 43m,6.1 (93K)
The First Omen,2024,1h 59m,6.5 (35K)
IF,2024,1h 44m,6.7 (14K)
Am I OK?,2022,1h 26m,6.1 (4K)
Kinds of Kindness,2024,2h 44m,6.9 (2.7K)
The Ministry of Ungentlemanly Warfare,2024,2h,6.9 (44K)
Atlas,2024,1h 58m,5.6 (41K)
